id,xmlid,name,active
4,no_answer,No answer,True
5,meeting_cancelled,Meeting cancelled,True
6,project_aborted,Project aborted,True
7,quotation_cancelled,Quotation cancelled,True
8,competing_offer_selected,Competing offer selected,True
9,too_long_term,Too long term,True
10,listed_building,Listed building,True
11,technical_infeasibility,Technical infeasibility,True
12,standby_customer,Put on stand-by by the customer,True
13,wrong_number,Wrong number,True
14,wrong_email,Wrong email,True
15,not_owner,Not owner,True
16,lead_out,Lead out-of-zone,True
17,no_installer_in_zone,No installer in zone,True
18,no_certified_installer,No certified or boosted installer in zone,True
19,duplicated_lead,Duplicated Lead,True
